,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
AMAZONAS-LUYA-PISUQUIA,AMAZONAS-LUYA-PISUQUIA,2021-03-01 00:00:00,010514,1,1,1.0,-7.0,1.0
AMAZONAS-LUYA-PROVIDENCIA,AMAZONAS-LUYA-PROVIDENCIA,2021-02-22 00:00:00,010515,1,1,0.0,-6.142857142857143,8.0
AMAZONAS-LUYA-SAN CRISTOBAL,,,,,,,,
AMAZONAS-LUYA-SAN JERONIMO,AMAZONAS-LUYA-SAN JERONIMO,2020-10-26 00:00:00,010518,5,3,1.0,-4.7714285714285705,0.0
AMAZONAS-LUYA-SANTA CATALINA,AMAZONAS-LUYA-SANTA CATALINA,2020-11-30 00:00:00,010520,1,1,0.0,-4.7142857142857135,0.0
AMAZONAS-LUYA-SANTO TOMAS,AMAZONAS-LUYA-SANTO TOMAS,2021-02-08 00:00:00,010521,1,1,0.0,-5.514285714285714,0.0
AMAZONAS-LUYA-TINGO,AMAZONAS-LUYA-TINGO,2021-03-01 00:00:00,010522,6,6,1.0,-7.0,0.0
AMAZONAS-LUYA-TRITA,AMAZONAS-LUYA-TRITA,2021-02-15 00:00:00,010523,1,1,0.0,-6.2285714285714295,3.0
AMAZONAS-UTCUBAMBA-BAGUA GRANDE,AMAZONAS-UTCUBAMBA-BAGUA GRANDE,2021-03-01 00:00:00,010701,19,13,0.0,-27.2,199.0
AMAZONAS-UTCUBAMBA-CAJARURO,AMAZONAS-UTCUBAMBA-CAJARURO,2021-03-01 00:00:00,010702,1,7,0.0,-27.2,4.0
AMAZONAS-UTCUBAMBA-CUMBA,AMAZONAS-UTCUBAMBA-CUMBA,2021-03-01 00:00:00,010703,1,3,0.0,-27.2,0.0
AMAZONAS-UTCUBAMBA-EL MILAGRO,AMAZONAS-UTCUBAMBA-EL MILAGRO,2021-03-01 00:00:00,010704,3,5,0.0,-27.2,0.0
AMAZONAS-UTCUBAMBA-JAMALCA,AMAZONAS-UTCUBAMBA-JAMALCA,2021-02-22 00:00:00,010705,1,3,0.0,-20.2,34.0
AMAZONAS-UTCUBAMBA-LONYA GRANDE,AMAZONAS-UTCUBAMBA-LONYA GRANDE,2021-03-01 00:00:00,010706,1,2,0.0,-27.2,0.0
AMAZONAS-UTCUBAMBA-YAMON,AMAZONAS-UTCUBAMBA-YAMON,2021-03-01 00:00:00,010707,1,8,0.0,-27.2,0.0
ANCASH-CARHUAZ-ACOPAMPA,ANCASH-CARHUAZ-ACOPAMPA,2021-03-01 00:00:00,020602,1,3,0.0,-27.4,4.0
ANCASH-CARHUAZ-AMASHCA,,,,,,,,
ANCASH-CARHUAZ-ANTA,ANCASH-CARHUAZ-ANTA,2021-02-22 00:00:00,020604,2,3,0.0,-19.514285714285712,40.0
ANCASH-CARHUAZ-ATAQUERO,ANCASH-CARHUAZ-ATAQUERO,2021-01-04 00:00:00,020605,1,1,0.0,-15.542857142857144,0.0
ANCASH-CARHUAZ-CARHUAZ,ANCASH-CARHUAZ-CARHUAZ,2021-03-01 00:00:00,020601,3,9,0.0,-27.4,2.0
